Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC
Logistic Regression,0.7443181818181818,0.511520737327189,0.7928571428571428,0.6218487394957983,0.8303663475699558,0.7398297067171239,0.5071428571428571,0.7580071174377224,0.6077032810271041,0.8313139743918994
Decision Tree,0.6922348484848485,0.45681381957773515,0.85,0.5942571785268415,0.8189179860088364,0.6915799432355724,0.45614035087719296,0.8327402135231317,0.5894206549118388,0.8167397365814286
Random Forest,0.7547348484848485,0.5264483627204031,0.7464285714285714,0.6174298375184638,0.8329850883652431,0.7578051087984863,0.5348189415041783,0.6832740213523132,0.6,0.8288788201196022
Gradient Boosting,0.7566287878787878,0.5282555282555282,0.7678571428571429,0.6259097525473072,0.84095176730486,0.7445600756859035,0.5143603133159269,0.701067615658363,0.5933734939759037,0.823364181678101
